ate,Words (detex),Chars (detex),Words,Lines,Chars,Filename
1429281541,933,6119,358,1323,11977,./tex/type-progress.tex
1429283821,27,413,43,70,1233,./tex/extraSpec.tex
1429283881,27,413,43,70,1233,./tex/extraSpec.tex
1429283941,27,413,43,70,1233,./tex/extraSpec.tex
1429284001,27,413,43,70,1233,./tex/extraSpec.tex
1429284061,27,413,43,70,1233,./tex/extraSpec.tex
1429284121,30,426,47,77,1323,./tex/extraSpec.tex
1429284181,30,426,48,78,1342,./tex/extraSpec.tex
1429284241,30,426,48,78,1343,./tex/extraSpec.tex
1429284301,30,426,48,78,1343,./tex/extraSpec.tex
1429284361,30,426,48,78,1342,./tex/extraSpec.tex
1429284421,30,435,49,79,1362,./tex/extraSpec.tex
1429284481,44,520,53,100,1494,./tex/extraSpec.tex
1429284541,44,520,53,100,1494,./tex/extraSpec.tex
1429284601,44,520,53,100,1494,./tex/extraSpec.tex
1429284661,44,520,53,100,1494,./tex/extraSpec.tex
1429284721,44,520,53,100,1494,./tex/extraSpec.tex
1429285081,41,511,57,113,1614,./tex/extraSpec.tex
1429285141,44,520,57,113,1614,./tex/extraSpec.tex
1429285201,41,511,57,117,1618,./tex/extraSpec.tex
1429285261,41,511,57,123,1671,./tex/extraSpec.tex
1429285321,41,511,57,125,1677,./tex/extraSpec.tex
1429285381,41,511,57,125,1677,./tex/extraSpec.tex
1429285441,41,511,57,125,1677,./tex/extraSpec.tex
1429285501,41,511,57,125,1677,./tex/extraSpec.tex
1429285561,41,511,57,125,1677,./tex/extraSpec.tex
1429285621,41,513,59,143,1815,./tex/extraSpec.tex
1429285682,41,513,59,143,1815,./tex/extraSpec.tex
1429285741,923,6048,348,1293,11679,./tex/type-progress.tex
1429285741,40,480,58,141,1759,./tex/extraSpec.tex
1429285801,923,6048,348,1293,11679,./tex/type-progress.tex
1429285801,50,542,69,171,2055,./tex/extraSpec.tex
1429285861,923,6048,348,1293,11679,./tex/type-progress.tex
1429285861,50,542,69,171,2057,./tex/extraSpec.tex
1429285921,923,6048,348,1293,11679,./tex/type-progress.tex
1429285921,50,542,69,171,2057,./tex/extraSpec.tex
1429285981,923,6048,348,1293,11679,./tex/type-progress.tex
1429285981,50,542,69,171,2057,./tex/extraSpec.tex
1429286041,50,542,69,171,2057,./tex/extraSpec.tex
1429286101,50,542,69,171,2057,./tex/extraSpec.tex
1429286161,77,707,74,199,2244,./tex/extraSpec.tex
1429286221,77,707,74,199,2244,./tex/extraSpec.tex
1429286281,77,707,74,199,2244,./tex/extraSpec.tex
1429286341,77,707,74,199,2244,./tex/extraSpec.tex
1429286401,71,665,70,184,2097,./tex/extraSpec.tex
1429286461,71,665,70,184,2097,./tex/extraSpec.tex
1429286521,71,665,70,184,2097,./tex/extraSpec.tex
1429286581,71,665,70,184,2097,./tex/extraSpec.tex
1429286641,71,665,71,199,2256,./tex/extraSpec.tex
1429286701,71,665,71,199,2256,./tex/extraSpec.tex
1429286761,71,664,73,194,2198,./tex/extraSpec.tex
1429286821,71,664,73,194,2198,./tex/extraSpec.tex
1429286881,71,661,74,202,2395,./tex/extraSpec.tex
1429286941,71,661,74,202,2395,./tex/extraSpec.tex
1429287001,71,661,74,202,2395,./tex/extraSpec.tex
1429287061,71,661,74,202,2395,./tex/extraSpec.tex
1429287121,71,661,74,202,2395,./tex/extraSpec.tex
1429287421,71,661,76,202,2408,./tex/extraSpec.tex
1429287481,71,661,76,211,2426,./tex/extraSpec.tex
1429287541,71,661,76,210,2424,./tex/extraSpec.tex
1429287602,71,661,75,209,2424,./tex/extraSpec.tex
1429287661,71,661,75,209,2429,./tex/extraSpec.tex
1429287721,72,668,75,212,2448,./tex/extraSpec.tex
1429287781,73,675,78,215,2492,./tex/extraSpec.tex
1429287841,74,680,78,215,2512,./tex/extraSpec.tex
1429287901,74,680,78,215,2512,./tex/extraSpec.tex
1429287961,74,680,78,215,2512,./tex/extraSpec.tex
1429288021,74,680,78,215,2512,./tex/extraSpec.tex
1429288081,74,680,78,215,2512,./tex/extraSpec.tex
1429288861,923,6048,348,1293,11681,./tex/type-progress.tex
1429288921,923,6047,348,1293,11701,./tex/type-progress.tex
1429288981,923,6049,351,1294,11738,./tex/type-progress.tex
1429289041,923,6049,353,1296,11775,./tex/type-progress.tex
1429289101,930,6088,351,1294,11740,./tex/type-progress.tex
1429289161,929,6080,351,1294,11736,./tex/type-progress.tex
1429289221,929,6080,351,1294,11736,./tex/type-progress.tex
1429289281,929,6079,351,1294,11736,./tex/type-progress.tex
1429289341,929,6079,351,1294,11736,./tex/type-progress.tex
1429289401,929,6079,351,1294,11736,./tex/type-progress.tex
1429289461,930,6084,351,1292,11736,./tex/type-progress.tex
1429289521,930,6088,351,1294,11751,./tex/type-progress.tex
1429289581,930,6088,351,1294,11751,./tex/type-progress.tex
1429289641,930,6088,351,1294,11751,./tex/type-progress.tex
1429289701,930,6088,351,1294,11751,./tex/type-progress.tex
1429289761,930,6088,351,1294,11751,./tex/type-progress.tex
1429295041,930,6088,351,1296,11755,./tex/type-progress.tex
1429295101,931,6095,351,1297,11773,./tex/type-progress.tex
1429295161,931,6095,351,1297,11773,./tex/type-progress.tex
1429295221,931,6095,351,1297,11773,./tex/type-progress.tex
1429295281,931,6095,351,1297,11773,./tex/type-progress.tex
1429295281,73,675,78,214,2507,./tex/extraSpec.tex
1429295341,931,6095,351,1297,11773,./tex/type-progress.tex
1429295341,73,675,78,214,2507,./tex/extraSpec.tex
1429295401,73,675,78,214,2507,./tex/extraSpec.tex
1429295461,73,675,78,214,2507,./tex/extraSpec.tex
1429295521,73,675,78,214,2507,./tex/extraSpec.tex
1429299361,931,6095,351,1298,11774,./tex/type-progress.tex
1429299421,931,6095,351,1299,11783,./tex/type-progress.tex
1429299481,931,6095,351,1299,11783,./tex/type-progress.tex
1429299541,931,6095,351,1299,11783,./tex/type-progress.tex
1429299601,931,6095,351,1299,11783,./tex/type-progress.tex
1429299661,931,6095,351,1299,11783,./tex/type-progress.tex
1429300621,931,6091,351,1300,11775,./tex/type-progress.tex
1429300681,924,6053,350,1287,11676,./tex/type-progress.tex
1429300741,907,5953,347,1268,11554,./tex/type-progress.tex
1429300801,906,5951,347,1268,11556,./tex/type-progress.tex
1429300862,906,5951,347,1268,11556,./tex/type-progress.tex
1429300921,906,5951,347,1268,11556,./tex/type-progress.tex
1429300981,906,5951,347,1268,11556,./tex/type-progress.tex
1429301041,906,5951,347,1268,11556,./tex/type-progress.tex
1429301341,906,5945,347,1268,11550,./tex/type-progress.tex
1429301401,906,5945,347,1268,11550,./tex/type-progress.tex
1429301461,906,5945,347,1268,11550,./tex/type-progress.tex
1429301521,906,5945,347,1268,11550,./tex/type-progress.tex
1429301581,906,5945,347,1268,11550,./tex/type-progress.tex
1429303381,906,5945,348,1268,11551,./tex/type-progress.tex
1429303389,906,5945,348,1268,11551,./tex/type-progress.tex
1429303397,906,5945,348,1268,11551,./tex/type-progress.tex
1429303441,906,5945,348,1268,11551,./tex/type-progress.tex
1429303501,906,5945,348,1268,11551,./tex/type-progress.tex
1429303561,906,5945,348,1268,11551,./tex/type-progress.tex
1429303621,906,5945,348,1268,11551,./tex/type-progress.tex
1429304101,906,5945,348,1268,11551,./tex/type-progress.tex
1429304161,906,5945,348,1268,11551,./tex/type-progress.tex
1429304221,906,5945,348,1268,11551,./tex/type-progress.tex
1429304281,906,5960,355,1268,11573,./tex/type-progress.tex
1429304341,906,5960,355,1268,11573,./tex/type-progress.tex
1429304401,906,5977,362,1268,11597,./tex/type-progress.tex
1429304461,906,5977,362,1268,11597,./tex/type-progress.tex
1429304521,906,5977,362,1268,11597,./tex/type-progress.tex
1429304581,906,5977,362,1268,11597,./tex/type-progress.tex
1429304641,906,5977,362,1268,11597,./tex/type-progress.tex
1429351261,935,6124,364,1308,11825,./tex/type-progress.tex
1429351321,949,6214,366,1323,11932,./tex/type-progress.tex
1429351381,949,6214,366,1323,11932,./tex/type-progress.tex
1429351441,949,6214,366,1323,11932,./tex/type-progress.tex
1429351501,949,6214,366,1323,11932,./tex/type-progress.tex
1429351561,948,6209,368,1322,11920,./tex/type-progress.tex
1429351621,948,6209,368,1322,11920,./tex/type-progress.tex
1429351681,948,6209,368,1322,11920,./tex/type-progress.tex
1429351681,1,55,1383,6810,95068,./tex/spec.tex
1429351741,948,6209,368,1322,11920,./tex/type-progress.tex
1429351741,1,55,1383,6812,95082,./tex/spec.tex
1429351801,948,6209,368,1322,11920,./tex/type-progress.tex
1429351801,1,55,1383,6789,94938,./tex/spec.tex
1429351861,1,55,1383,6789,94938,./tex/spec.tex
1429351921,1,55,1382,6832,95357,./tex/spec.tex
1429351981,1,55,1382,6832,95357,./tex/spec.tex
1429352041,1,55,1382,6636,93211,./tex/spec.tex
1429352101,1,55,1382,6636,93211,./tex/spec.tex
1429352161,1,55,1382,6636,93211,./tex/spec.tex
1429352221,1,55,1382,6636,93211,./tex/spec.tex
1429352281,1,55,1382,6636,93211,./tex/spec.tex
1429352341,1,55,1388,6840,95975,./tex/spec.tex
1429352401,1,55,1388,6901,96379,./tex/spec.tex
1429352461,1,55,1388,6925,96552,./tex/spec.tex
1429352521,1,55,1394,6930,96724,./tex/spec.tex
1429352582,1,55,1394,6307,84288,./tex/spec.tex
1429352641,1,55,1394,6307,84288,./tex/spec.tex
1429352701,1,55,1394,6928,96643,./tex/spec.tex
1429352761,1,55,1394,6936,96587,./tex/spec.tex
1429352821,1,55,1396,6944,96717,./tex/spec.tex
1429352881,1,55,1396,6944,96717,./tex/spec.tex
1429352941,948,6224,368,1322,11935,./tex/type-progress.tex
1429352941,1,55,1396,6944,96717,./tex/spec.tex
1429353001,948,6224,368,1322,11935,./tex/type-progress.tex
1429353001,1,55,1396,6944,96717,./tex/spec.tex
1429353061,948,6224,368,1322,11935,./tex/type-progress.tex
1429353061,1,55,1396,6944,96717,./tex/spec.tex
1429353121,948,6224,368,1322,11935,./tex/type-progress.tex
1429353181,983,6433,373,1363,12248,./tex/type-progress.tex
1429353241,983,6433,373,1363,12248,./tex/type-progress.tex
1429353301,983,6433,373,1363,12248,./tex/type-progress.tex
1429353361,983,6433,373,1363,12248,./tex/type-progress.tex
1429353421,983,6433,373,1363,12248,./tex/type-progress.tex
1429353481,1033,6721,388,1429,12708,./tex/type-progress.tex
1429353541,1033,6721,388,1429,12708,./tex/type-progress.tex
1429353601,1033,6721,388,1429,12708,./tex/type-progress.tex
1429353661,1033,6721,388,1429,12708,./tex/type-progress.tex
1429353721,1033,6721,388,1429,12708,./tex/type-progress.tex
1429364761,1033,6721,388,1429,12707,./tex/type-progress.tex
1429364821,1045,6806,390,1442,12808,./tex/type-progress.tex
1429364881,1045,6806,390,1442,12808,./tex/type-progress.tex
